,edges,edge_labels,query_edge,query_label
14094,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'PO', 'EC', 'EQ', 'TPP', 'PO']","(0, 4)",EC
14095,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'TPP', 'EC', 'EQ', 'EC', 'TPP']","(0, 4)",EC
14096,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'PO', 'DC', 'TPPI', 'EC']","(0, 4)",EC
14097,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'TPPI', 'EQ', 'EC', 'DC', 'EC']","(0, 4)",EC
14098,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'NTPPI', 'TPP', 'EC', 'TPPI', 'EC']","(0, 4)",EC
14099,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'TPP', 'TPP', 'TPPI']","(0, 4)",EC
14100,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'TPP', 'PO', 'EC']","(0, 4)",EC
14101,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'DC', 'TPP', 'NTPPI']","(0, 4)",EC
14102,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'DC', 'PO', 'EC', 'EC']","(0, 4)",EC
14103,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'EC', 'TPP', 'TPPI', 'DC']","(0, 4)",EC
14104,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'EC', 'EQ', 'NTPPI', 'DC']","(0, 4)",EC
14105,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'DC', 'TPP', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14106,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'EC', 'EQ', 'NTPPI', 'DC']","(0, 4)",EC
14107,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'PO', 'EC', 'TPP', 'EC', 'TPPI']","(0, 4)",EC
14108,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'DC', 'TPPI', 'EC', 'EQ', 'EC']","(0, 4)",EC
14109,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'NTPP', 'DC', 'NTPP']","(0, 4)",EC
14110,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'DC', 'DC', 'PO', 'EC', 'EQ']","(0, 4)",EC
14111,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'TPP', 'DC', 'EC', 'EC', 'EQ']","(0, 4)",EC
14112,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'NTPPI', 'DC', 'DC', 'PO']","(0, 4)",EC
14113,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'PO', 'DC', 'PO', 'TPPI']","(0, 4)",EC
14114,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'NTPP', 'TPPI', 'PO', 'EC']","(0, 4)",EC
14115,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EC', 'NTPPI', 'DC', 'EQ', 'EC']","(0, 4)",EC
14116,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'TPP', 'EC', 'EQ']","(0, 4)",EC
14117,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'PO', 'PO', 'EC']","(0, 4)",EC
14118,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'EC', 'PO', 'EC']","(0, 4)",EC
14119,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'TPPI', 'PO', 'DC']","(0, 4)",EC
14120,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'TPP', 'TPP', 'NTPPI', 'EC', 'EQ']","(0, 4)",EC
14121,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'NTPPI', 'EC', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14122,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'TPPI', 'EC', 'EQ', 'TPPI', 'DC']","(0, 4)",EC
14123,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'EC', 'EC', 'TPPI']","(0, 4)",EC
14124,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'PO', 'EC', 'EQ', 'EC', 'EQ']","(0, 4)",EC
14125,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'DC', 'EQ', 'EC', 'EC', 'TPPI']","(0, 4)",EC
14126,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'EC', 'TPPI', 'EC', 'EQ', 'EC']","(0, 4)",EC
14127,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'TPP', 'TPP', 'PO']","(0, 4)",EC
14128,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'TPPI', 'EC', 'EQ', 'PO', 'NTPPI']","(0, 4)",EC
14129,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'EC', 'TPP', 'EC', 'DC', 'EC']","(0, 4)",EC
14130,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'DC', 'EC', 'EQ', 'PO', 'DC']","(0, 4)",EC
14131,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'PO', 'TPP', 'NTPPI']","(0, 4)",EC
14132,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'NTPPI', 'EQ', 'EC', 'TPP', 'EC']","(0, 4)",EC
14133,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'DC', 'TPP', 'TPP', 'EC']","(0, 4)",EC
14134,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'TPPI', 'EC', 'EQ', 'NTPP', 'PO']","(0, 4)",EC
14135,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'TPPI', 'TPP', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14136,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14137,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'EQ', 'TPP', 'PO']","(0, 4)",EC
14138,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'NTPP', 'EC', 'EQ', 'DC', 'TPP']","(0, 4)",EC
14139,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'DC', 'NTPP', 'EC', 'EQ']","(0, 4)",EC
14140,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'TPP', 'PO', 'NTPPI']","(0, 4)",EC
14141,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'EC', 'EQ', 'PO', 'TPPI']","(0, 4)",EC
14142,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'TPP', 'TPPI', 'EC', 'EQ']","(0, 4)",EC
14143,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'EQ', 'EC', 'DC', 'TPP']","(0, 4)",EC
14144,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EQ', 'EC', 'EC', 'TPP']","(0, 4)",EC
14145,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'DC', 'EC', 'PO', 'EC', 'EQ']","(0, 4)",EC
14146,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'DC', 'TPP', 'TPP', 'EC']","(0, 4)",EC
14147,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'EC', 'TPP', 'TPP', 'TPPI']","(0, 4)",EC
14148,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EC', 'EC', 'EQ', 'TPP', 'PO']","(0, 4)",EC
14149,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'EC', 'EQ', 'PO', 'DC']","(0, 4)",EC
14150,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'TPPI', 'EC', 'TPPI']","(0, 4)",EC
14151,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'EC', 'EQ', 'TPPI', 'DC']","(0, 4)",EC
14152,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'TPP', 'PO', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14153,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'TPP', 'DC', 'NTPP']","(0, 4)",EC
14154,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'TPPI', 'EC', 'TPP', 'PO']","(0, 4)",EC
14155,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'NTPPI', 'EQ', 'EC', 'EQ', 'EC']","(0, 4)",EC
14156,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'NTPPI', 'EC', 'EQ', 'EC', 'EC']","(0, 4)",EC
14157,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'TPP', 'EC', 'EQ', 'EC']","(0, 4)",EC
14158,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'TPP', 'TPPI', 'PO', 'DC']","(0, 4)",EC
14159,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'NTPPI', 'DC', 'EC', 'DC']","(0, 4)",EC
14160,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'TPP', 'PO', 'EC', 'TPP']","(0, 4)",EC
14161,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'DC', 'DC', 'NTPP']","(0, 4)",EC
14162,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'EC', 'EC', 'TPPI', 'PO', 'DC']","(0, 4)",EC
14163,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'NTPP', 'PO', 'EC', 'EQ']","(0, 4)",EC
14164,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'EQ', 'EC', 'TPP', 'NTPPI']","(0, 4)",EC
14165,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'DC', 'TPPI', 'EC', 'TPP', 'EC']","(0, 4)",EC
14166,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'PO', 'EQ', 'EC', 'EC', 'TPP']","(0, 4)",EC
14167,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'TPPI', 'TPP', 'NTPPI']","(0, 4)",EC
14168,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'DC', 'PO', 'EC', 'EQ']","(0, 4)",EC
14169,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'EC', 'EC', 'EQ', 'PO', 'DC']","(0, 4)",EC
14170,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'NTPP', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14171,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'EC', 'EQ', 'EC', 'DC', 'EC']","(0, 4)",EC
14172,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'DC', 'TPPI', 'DC']","(0, 4)",EC
14173,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'DC', 'EC', 'EQ', 'DC', 'NTPP']","(0, 4)",EC
14174,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'EC', 'EC', 'EQ', 'TPP', 'PO']","(0, 4)",EC
14175,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'DC', 'EQ', 'EC', 'PO', 'TPPI']","(0, 4)",EC
14176,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'EQ', 'TPP', 'EC']","(0, 4)",EC
14177,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'TPPI', 'EC', 'EC', 'EC']","(0, 4)",EC
14178,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'PO', 'NTPP', 'TPPI', 'EC', 'EQ']","(0, 4)",EC
14179,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'PO', 'PO', 'TPPI']","(0, 4)",EC
14180,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'NTPP', 'EC', 'EQ', 'NTPP', 'TPPI']","(0, 4)",EC
14181,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'TPP', 'TPPI', 'EC', 'EQ']","(0, 4)",EC
14182,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'PO', 'EC', 'EC', 'EQ']","(0, 4)",EC
14183,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'NTPPI', 'TPP', 'NTPPI', 'EQ', 'EC']","(0, 4)",EC
14184,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'EC', 'TPP', 'EC', 'EC', 'EC']","(0, 4)",EC
14185,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'TPP', 'EC', 'EQ']","(0, 4)",EC
14186,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPPI', 'DC', 'EC', 'PO', 'EC', 'EQ']","(0, 4)",EC
14187,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'EC', 'DC', 'EC', 'TPP', 'EC']","(0, 4)",EC
14188,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'NTPPI', 'DC', 'PO', 'EC']","(0, 4)",EC
14189,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'EC', 'EQ', 'PO', 'DC']","(0, 4)",EC
14190,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'NTPP', 'EQ', 'EC', 'EC', 'EC']","(0, 4)",EC
14191,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'NTPP', 'PO', 'EC', 'EQ']","(0, 4)",EC
14192,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'DC', 'NTPP', 'DC', 'EC']","(0, 4)",EC
14193,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'TPPI', 'EC', 'NTPP', 'TPPI']","(0, 4)",EC
14194,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPPI', 'DC', 'EQ', 'EC', 'PO', 'EC']","(0, 4)",EC
14195,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'PO', 'EC', 'EQ', 'NTPPI', 'DC']","(0, 4)",EC
14196,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'TPP', 'TPP', 'TPPI']","(0, 4)",EC
14197,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'PO', 'DC', 'NTPP', 'EQ', 'EC']","(0, 4)",EC
14198,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'PO', 'EC', 'DC', 'NTPP']","(0, 4)",EC
14199,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'PO', 'TPP', 'NTPPI', 'EC', 'EQ']","(0, 4)",EC
14200,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'PO', 'TPPI', 'DC', 'EC', 'EQ']","(0, 4)",EC
14201,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'EC', 'EQ', 'EC', 'TPP', 'EC']","(0, 4)",EC
14202,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPPI', 'DC', 'EQ', 'EC', 'EC', 'PO']","(0, 4)",EC
14203,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'EC', 'EC', 'EQ', 'TPPI', 'DC']","(0, 4)",EC
14204,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'EC', 'EQ', 'EC', 'DC', 'EC']","(0, 4)",EC
14205,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'TPPI', 'EC', 'DC', 'EC']","(0, 4)",EC
14206,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'PO', 'DC', 'EC', 'EC', 'EQ']","(0, 4)",EC
14207,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'EQ', 'TPPI', 'DC']","(0, 4)",EC
14208,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'NTPP', 'TPP', 'EC', 'EC', 'TPP']","(0, 4)",EC
14209,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EC', 'EQ', 'EC', 'NTPP', 'PO']","(0, 4)",EC
14210,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'TPPI', 'NTPP', 'TPPI']","(0, 4)",EC
14211,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'DC', 'EQ', 'EC', 'NTPP', 'PO']","(0, 4)",EC
14212,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'NTPPI', 'DC', 'EC', 'TPPI']","(0, 4)",EC
14213,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'NTPPI', 'EQ', 'EC', 'TPPI', 'DC']","(0, 4)",EC
14214,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'NTPPI', 'DC', 'DC', 'TPP']","(0, 4)",EC
14215,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'NTPPI', 'EC', 'EQ', 'EQ', 'EC']","(0, 4)",EC
14216,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'NTPPI', 'DC', 'PO', 'EC']","(0, 4)",EC
14217,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14218,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'TPPI', 'EC', 'EQ', 'TPP', 'TPPI']","(0, 4)",EC
14219,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'EC', 'NTPP', 'PO']","(0, 4)",EC
14220,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'NTPPI', 'DC', 'EC', 'EQ']","(0, 4)",EC
14221,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'NTPP', 'TPP', 'TPPI']","(0, 4)",EC
14222,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'EC', 'EQ', 'EC']","(0, 4)",EC
14223,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'NTPPI', 'EC', 'EQ', 'TPP', 'TPPI']","(0, 4)",EC
14224,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'PO', 'EC', 'TPP']","(0, 4)",EC
14225,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'DC', 'NTPP', 'TPPI']","(0, 4)",EC
14226,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPPI', 'DC', 'PO', 'TPPI', 'EC']","(0, 4)",EC
14227,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'EQ', 'DC', 'EC']","(0, 4)",EC
14228,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'PO', 'TPPI', 'PO', 'NTPPI']","(0, 4)",EC
14229,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EQ', 'EC', 'PO', 'NTPPI']","(0, 4)",EC
14230,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'DC', 'NTPP', 'TPPI', 'EC']","(0, 4)",EC
14231,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'TPPI', 'EC', 'PO', 'EQ', 'EC']","(0, 4)",EC
14232,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'PO', 'EQ', 'EC', 'TPP', 'PO']","(0, 4)",EC
14233,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'EC', 'PO', 'NTPPI']","(0, 4)",EC
14234,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'NTPPI', 'EQ', 'EC', 'PO', 'TPPI']","(0, 4)",EC
14235,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'PO', 'PO', 'NTPPI', 'EC', 'EQ']","(0, 4)",EC
14236,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'EC', 'TPP', 'TPP', 'EC']","(0, 4)",EC
14237,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'EC', 'TPPI', 'EC']","(0, 4)",EC
14238,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'DC', 'PO', 'EC', 'PO']","(0, 4)",EC
14239,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['PO', 'TPPI', 'TPP', 'NTPPI', 'EQ', 'EC']","(0, 4)",EC
14240,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPPI', 'EC', 'DC', 'NTPP']","(0, 4)",EC
14241,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'TPPI', 'EC', 'TPP', 'EC']","(0, 4)",EC
14242,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'PO', 'EC', 'EQ', 'EC', 'TPPI']","(0, 4)",EC
14243,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'TPP', 'NTPPI', 'TPP', 'TPPI']","(0, 4)",EC
14244,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPPI', 'DC', 'EC', 'TPP', 'EQ', 'EC']","(0, 4)",EC
14245,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'EQ', 'EC', 'PO', 'PO', 'EC']","(0, 4)",EC
14246,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'PO', 'TPPI', 'EC', 'TPPI']","(0, 4)",EC
14247,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EC', 'TPP', 'NTPP', 'TPPI', 'EQ', 'EC']","(0, 4)",EC
14248,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['NTPP', 'TPPI', 'EC', 'DC', 'EC', 'EQ']","(0, 4)",EC
14249,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'EC', 'DC', 'TPP', 'EC', 'EQ']","(0, 4)",EC
14250,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['EQ', 'EC', 'EC', 'EQ', 'NTPPI', 'DC']","(0, 4)",EC
14251,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['DC', 'NTPP', 'EC', 'EQ', 'EC', 'EQ']","(0, 4)",EC
14252,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'EC', 'EQ', 'DC', 'NTPP']","(0, 4)",EC
14253,"[(0, 1), (1, 4), (0, 2), (2, 4), (0, 3), (3, 4)]","['TPP', 'EC', 'EC', 'TPPI', 'EC', 'TPP']","(0, 4)",EC
